ComponentName : Latency2bit Latency8bit Latency16bit Latency32bit Latency64bit
REG : 4.818 5.142 5.377 6.244 8.141
ADD : 6.925 8.693 9.801 12.360 16.573
COMP : 7.221 9.284 9.748 10.346 13.975
DEC : 6.759 8.118 9.272 11.023 13.422
DIV : 7.093 11.682 52.883 60.462 404.290
INC : 6.759 8.251 8.778 10.823 13.051
MOD : 7.232 26.062 53.977 142.830 417.683
MUL : 7.232 11.965 12.580 18.830 26.075
MUX2x1 : 7.235 7.828 8.738 12.086 14.563
SHL : 7.232 8.838 10.874 15.689 19.893
SHR : 7.093 8.645 11.113 16.264 17.834
SUB : 7.232 8.693 9.801 12.360 16.573
